"clade","ntips","ROmean","ROsd","ROslope","ROintercept","ROskew","ROkurtosis","RO0","RO50","RO75","RO90","RO100","TOmean","TOsd","asymmean","asymsd","asymslope","asymintercept","RDmean","RDsd","RDintercept","RDslope","BIMOD50","BIMODE75","BIMOD90","BIMOD100","RSskew","RSmean","RSsd","CI","Beta","Gamma","SI","ARCslope","ARCint"
"Anilios_buff01",32,0.257969892595852,0.288696488167039,-0.134563067172365,0.323448275750107,0.588501541980149,1.72436112064147,0.363636363636364,0.272727272727273,0,0,0,0.0439815714734801,0.364041132447026,0.253075390406332,0.125846643910011,0.245585846452774,0.133573327253307,0.0523652203777662,0.0741378826726575,0.0194331904070753,0.067677831180235,0.396694214876033,0,0,0,1.51065503974191,0.251344373565677,0.221900854852578,105,-0.900936320237376,-5.93289667925737,223,-0.176266108977537,0.322208246578833
"Anilios_buff03",32,0.0855917673629367,0.147547708688405,-0.105904461192747,0.137124873983055,2.28478984270999,7.06827027075903,0.363636363636364,0.0909090909090909,0,0,0,-0.0101830185612188,0.169487082097322,0.268010773155679,0.162115894973274,0.142308887080536,0.198763274341022,0.0714331013415554,0.100291351979521,0.0318350222146527,0.0813770701835628,0.132231404958678,0,0,0,1.31964483778368,0.241756772813688,0.223451648499239,105,-0.900936320237376,-5.93289667925737,223,-0.014022058054372,0.0885494734350397
"Anilios_buff05",32,0.139200353090387,0.189613863512759,-0.102740864460292,0.189194053665845,1.50288041021498,4.38647712654292,0.363636363636364,0.0909090909090909,0,0,0,0.00189338223826436,0.2162004733616,0.25959241371324,0.149023971397249,0.222703212432112,0.151225039367985,0.0653047939724854,0.0919091333738672,0.0280043501708032,0.0766552544985774,0.132231404958678,0,0,0,1.52369297002866,0.234750908950259,0.216460850291763,105,-0.900936320237376,-5.93289667925737,223,-0.0462470803902479,0.151437963379245
"Anilios_MCP",32,0.252074473551417,0.401001551399322,-0.359265721188117,0.426893159246302,1.15772585039212,2.58466441135523,0.454545454545455,0.272727272727273,0.181818181818182,0.181818181818182,0.0909090909090909,0.1461867047754,0.43342736258249,0.155419326366778,0.10711616951863,0.324574937591086,-0.00251882540435084,0.16459034087076,0.205600201298889,0.14120139922263,0.0480660574448419,0.495867768595041,0.330578512396694,0.330578512396694,0.165289256198347,2.23995767579284,0.162045981452859,0.221909676562089,105,-0.900936320237376,-5.93289667925737,223,-0.226186532216944,0.320502298602548
