"catalogue","genus","species","longdec","latdec"
"J61022","Anilios","affinis",142.2,-26.55
"J89731","Anilios","affinis",143.3261,-24.1353
"J81413","Anilios","affinis",145.2345,-22.9651
"J46706","Anilios","affinis",145.3667,-22.8167
"J72756","Anilios","affinis",145.4,-22.3447
"J28797","Anilios","affinis",145.45,-23.55
"J44506","Anilios","affinis",145.65,-19.4833
"R.64980","Anilios","affinis",145.68,-28.07
"J44893","Anilios","affinis",145.7,-20.5167
"J44499","Anilios","affinis",145.7833,-19.6333
"J44501","Anilios","affinis",146.1667,-20.7667
"R.142984","Anilios","affinis",146.2314,-29.3431
"J5400","Anilios","affinis",146.25,-26.4
"J24289","Anilios","affinis",146.2667,-20.0833
"R.135419","Anilios","affinis",146.27,-29.1
"J44505","Anilios","affinis",146.2833,-20.2
"J74998","Anilios","affinis",146.4167,-20
"J67491","Anilios","affinis",146.455,-19.1239
"J7380","Anilios","affinis",146.475,-19.3583
"J79875","Anilios","affinis",146.5511,-19.5985
"J44503","Anilios","affinis",146.65,-20.3333
"J60650","Anilios","affinis",146.7333,-19.5333
"J60651","Anilios","affinis",146.7667,-19.3333
"J61813","Anilios","affinis",146.7833,-19.4
"J76661","Anilios","affinis",146.8167,-19.3167
"J93635","Anilios","affinis",146.8672,-20.5114
"J61812","Anilios","affinis",146.95,-19.4167
"J76969","Anilios","affinis",147.5147,-22.7111
"J92358","Anilios","affinis",147.6369,-24.8381
"J81301","Anilios","affinis",147.6983,-20.6978
"J81300","Anilios","affinis",147.7853,-21.1472
"J81074","Anilios","affinis",147.7864,-21.1581
"J76269","Anilios","affinis",147.8,-19.75
"J76612","Anilios","affinis",147.8661,-25.09
"J76613","Anilios","affinis",147.8778,-25.0731
"J93015","Anilios","affinis",147.8994,-22.7156
"J76614","Anilios","affinis",147.9181,-25.0394
"J76610","Anilios","affinis",147.9292,-25.0217
"J91141","Anilios","affinis",147.9311,-21.5476
"R.12102","Anilios","affinis",148.02,-23.08
"R.12683","Anilios","affinis",148.08,-24.12
"J61423","Anilios","affinis",148.1,-23.6667
"J36876","Anilios","affinis",148.1667,-23.5167
"J5262","Anilios","affinis",148.1833,-26.3333
"J84315","Anilios","affinis",148.3197,-22.0117
"J11566","Anilios","affinis",148.5833,-28.05
"J73001","Anilios","affinis",148.8472,-23.2167
"J79743","Anilios","affinis",148.8694,-23.1919
"R.16759","Anilios","affinis",149,-28.98
"R55645","Anilios","affinis",149.1997,-23.6294
"J7365","Anilios","affinis",149.6167,-26.65
"R.178263","Anilios","affinis",149.67,-23.72
"J82141","Anilios","affinis",149.7006,-26.5178
"J11630","Anilios","affinis",149.9833,-24.5667
"J64584","Anilios","affinis",150.3333,-23.5167
"J68718","Anilios","affinis",150.3344,-23.5151
"R.9322","Anilios","affinis",150.38,-23.65
"J77031","Anilios","affinis",150.8,-23.2833
"R.6343","Anilios","affinis",151.12,-25.37
"J73628","Anilios","affinis",151.3511,-27.6984
"J45432","Anilios","affinis",151.5667,-24.3333
"R.153041","Anilios","affinis",151.62,-25.62
"J70008","Anilios","affinis",152.8639,-27.6969
"J23870","Anilios","affinis",152.8833,-27.5667
"R151302","Anilios","ammodytes",114.0817,-22.1783
"R61472","Anilios","ammodytes",114.0833,-22.1666
"R145694","Anilios","ammodytes",115.1969,-21.7108
"R170643","Anilios","ammodytes",115.248,-21.7792
"R164513","Anilios","ammodytes",115.367,-21.7789
"R28039","Anilios","ammodytes",115.4167,-20.7833
"R162017","Anilios","ammodytes",115.437,-22.2554
"R172597","Anilios","ammodytes",115.4446,-20.7786
"R175818","Anilios","ammodytes",115.457605,-20.785872
"R170620","Anilios","ammodytes",115.464,-21.7914
"R139430","Anilios","ammodytes",115.4667,-22.0333
"R162035","Anilios","ammodytes",115.491,-22.256
"R85052","Anilios","ammodytes",115.5,-22.5333
"R161994","Anilios","ammodytes",115.558,-22.4984
"R162031","Anilios","ammodytes",115.578,-22.9179
"R163004","Anilios","ammodytes",115.661,-22.4523
"R170619","Anilios","ammodytes",115.723,-21.9181
"R102490","Anilios","ammodytes",115.7908,-23.0794
"R102482","Anilios","ammodytes",115.8125,-23.0441
"R102496","Anilios","ammodytes",115.8806,-23.3791
"R165175","Anilios","ammodytes",115.93,-22.4348
"R102560","Anilios","ammodytes",116.0097,-23.0958
"R141306","Anilios","ammodytes",116.1872,-21.0152
"R141313","Anilios","ammodytes",116.1922,-20.9113
"R110858","Anilios","ammodytes",116.2997,-21.8188
"R110841","Anilios","ammodytes",116.4539,-21.9413
"R162120","Anilios","ammodytes",116.461,-22.7402
"R110856","Anilios","ammodytes",116.4636,-21.9483
"R110847","Anilios","ammodytes",116.4653,-21.9511
"R170659","Anilios","ammodytes",116.492,-21.6331
"R170658","Anilios","ammodytes",116.503,-21.8736
"R165284","Anilios","ammodytes",116.6806,-20.7922
"R165282","Anilios","ammodytes",116.6814,-20.7986
"R165285","Anilios","ammodytes",116.685,-20.7927
"R165283","Anilios","ammodytes",116.7019,-20.7802
"R164571","Anilios","ammodytes",116.725,-21.6728
"R132666","Anilios","ammodytes",116.8,-20.5847
"R146546","Anilios","ammodytes",116.8039,-21.1297
"R132647","Anilios","ammodytes",116.8053,-20.5602
"R132643","Anilios","ammodytes",116.8108,-20.5963
"R102805","Anilios","ammodytes",116.8186,-20.5383
"R60417","Anilios","ammodytes",116.85,-20.7333
"R108831","Anilios","ammodytes",116.85,-20.7833
"R110035","Anilios","ammodytes",116.857,-20.7945
"R37327","Anilios","ammodytes",116.8667,-20.3833
"R162394","Anilios","ammodytes",116.945,-20.8521
"R110199","Anilios","ammodytes",116.975,-21.6772
"R140023","Anilios","ammodytes",117.0008,-21.1813
"R158070","Anilios","ammodytes",117.057,-21.5402
"R73859","Anilios","ammodytes",117.0833,-21.1
"R110216","Anilios","ammodytes",117.189,-21.3413
"R110185","Anilios","ammodytes",117.23,-21.33
"R158097","Anilios","ammodytes",117.276,-21.3104
"R170216","Anilios","ammodytes",117.511,-22.72
"R163213","Anilios","ammodytes",117.5219,-22.2175
"R67336","Anilios","ammodytes",117.6667,-23.2
"R151167","Anilios","ammodytes",117.7436,-22.6202
"R127743","Anilios","ammodytes",117.7489,-22.808
"R170236","Anilios","ammodytes",117.801,-23.3397
"R163227","Anilios","ammodytes",117.8356,-22.1555
"R166638","Anilios","ammodytes",117.8394,-20.8497
"R160005","Anilios","ammodytes",117.85,-20.9499
"R161253","Anilios","ammodytes",117.859,-20.8699
"R110123","Anilios","ammodytes",117.98,-21.8562
"R15117","Anilios","ammodytes",118.05,-20.5166
"R39740","Anilios","ammodytes",118.25,-22.35
"R146748","Anilios","ammodytes",118.59,-20.47
"R146661","Anilios","ammodytes",118.61,-20.61
"R145620","Anilios","ammodytes",118.64,-20.54
"R145546","Anilios","ammodytes",118.68,-20.91
"R114541","Anilios","ammodytes",118.6833,-20.5166
"R170117","Anilios","ammodytes",118.689,-21.1281
"R37065","Anilios","ammodytes",118.75,-22
"R145553","Anilios","ammodytes",118.75,-21.06
"R170038","Anilios","ammodytes",118.761,-21.0636
"R67903","Anilios","ammodytes",118.7917,-23.1847
"R124837","Anilios","ammodytes",118.8333,-20.4166
"R146634","Anilios","ammodytes",118.8872,-21.6341
"R161580","Anilios","ammodytes",118.893,-20.3464
"R172304","Anilios","ammodytes",118.9119,-21.798
"R90774","Anilios","ammodytes",118.9536,-21.6169
"R104063","Anilios","ammodytes",118.9619,-21.6094
"R99378","Anilios","ammodytes",118.9622,-21.6097
"R146592","Anilios","ammodytes",118.98,-22.39
"R157046","Anilios","ammodytes",118.9958,-21.9538
"R157042","Anilios","ammodytes",118.9989,-22.395
"R154294","Anilios","ammodytes",119.0067,-22.4144
"R157090","Anilios","ammodytes",119.01,-22.3466
"R146623","Anilios","ammodytes",119.0214,-22.1819
"R157071","Anilios","ammodytes",119.0219,-21.988
"R154246","Anilios","ammodytes",119.0228,-22.2991
"R158174","Anilios","ammodytes",119.025,-22.2217
"R154257","Anilios","ammodytes",119.0264,-22.2591
"R157013","Anilios","ammodytes",119.0364,-22.4591
"R99362","Anilios","ammodytes",119.0397,-21.6111
"R145643","Anilios","ammodytes",119.09,-22.5
"R164122","Anilios","ammodytes",119.1031,-22.24
"R119730","Anilios","ammodytes",119.1389,-22.9569
"R163098","Anilios","ammodytes",119.177,-23.0538
"R164121","Anilios","ammodytes",119.1892,-22.268
"R163991","Anilios","ammodytes",119.2108,-20.3255
"R71623","Anilios","ammodytes",119.2167,-22.6666
"R121995","Anilios","ammodytes",119.2167,-22.9166
"R73150","Anilios","ammodytes",119.2189,-22.7666
"R73141","Anilios","ammodytes",119.225,-22.8047
"R146599","Anilios","ammodytes",119.24,-22.6
"R163235","Anilios","ammodytes",119.2511,-22.9713
"R70767","Anilios","ammodytes",119.2631,-22.7861
"R70780","Anilios","ammodytes",119.2631,-22.7833
"R156462","Anilios","ammodytes",119.2911,-22.3497
"R170854","Anilios","ammodytes",119.366,-21.3403
"R161604","Anilios","ammodytes",119.367,-20.1619
"R161898","Anilios","ammodytes",119.408,-21.2367
"R161699","Anilios","ammodytes",119.42,-20.2614
"R62369","Anilios","ammodytes",119.5167,-20.4666
"R170833","Anilios","ammodytes",119.541,-21.4381
"R161697","Anilios","ammodytes",119.574,-20.2419
"R166894","Anilios","ammodytes",119.6236,-22.9847
"R158220","Anilios","ammodytes",119.7306,-22.4094
"R158221","Anilios","ammodytes",119.7753,-22.3894
"R135908","Anilios","ammodytes",119.8167,-20.0666
"R110244","Anilios","ammodytes",119.841,-22.6757
"R161395","Anilios","ammodytes",119.858,-20.9353
"R161352","Anilios","ammodytes",119.904,-20.9336
"R163915","Anilios","ammodytes",119.909,-20.3908
"R110247","Anilios","ammodytes",119.919,-22.6611
"R145624","Anilios","ammodytes",119.99,-22.36
"R146617","Anilios","ammodytes",119.99,-22.39
"R160181","Anilios","ammodytes",120.071,-21.4077
"R165931","Anilios","ammodytes",120.0794,-20.8766
"R161334","Anilios","ammodytes",120.088,-21.6785
"R161311","Anilios","ammodytes",120.091,-21.4799
"R29499","Anilios","ammodytes",120.1,-21.9
"R166184","Anilios","ammodytes",120.1242,-21.9541
"R154866","Anilios","ammodytes",120.1317,-20.4127
"R166183","Anilios","ammodytes",120.1317,-21.9519
"R154545","Anilios","ammodytes",120.1408,-20.4155
"R154865","Anilios","ammodytes",120.15,-20.4183
"R160191","Anilios","ammodytes",120.155,-21.6773
"R160239","Anilios","ammodytes",120.194,-21.9478
"R139407","Anilios","ammodytes",120.3406,-21.2163
"R161520","Anilios","ammodytes",120.377,-20.7669
"R139373","Anilios","ammodytes",120.4469,-21.3511
"R161558","Anilios","ammodytes",120.537,-20.8178
"R175390","Anilios","ammodytes",120.54298,-20.61881
"R160117","Anilios","ammodytes",120.585,-21.2716
"R111996","Anilios","ammodytes",120.646,-22.7183
"R170487","Anilios","ammodytes",120.659,-22.5164
"R111958","Anilios","ammodytes",120.678,-22.5181
"R163716","Anilios","ammodytes",120.689,-20.885
"R111995","Anilios","ammodytes",120.729,-22.6111
"R111957","Anilios","ammodytes",120.737,-22.7006
"R161288","Anilios","ammodytes",120.77,-21.3377
"R161544","Anilios","ammodytes",120.894,-20.7392
"R154863","Anilios","ammodytes",121.0875,-20.8466
"R177094","Anilios","ammodytes",121.23245,-20.11287
"R166502","Anilios","ammodytes",121.2417,-21.6594
"R112731","Anilios","ammodytes",121.4481,-19.7977
"R88653","Anilios","ammodytes",121.5333,-19.7
"R100453","Anilios","ammodytes",122.0639,-22.3288
"R94724","Anilios","ammodytes",122.0725,-22.34
"J91822","Anilios","aspina",141.7417,-20.7681
"J51541","Anilios","aspina",145.2667,-23.45
"J7","Anilios","aspina",145.4,-23.2833
"R108449","Anilios","australis",113.0014,-25.6683
"R163613","Anilios","australis",113.0236,-25.7194
"R115848","Anilios","australis",113.1,-25.15
"R103968","Anilios","australis",113.1333,-24.9333
"R104255","Anilios","australis",113.3167,-26.2333
"R135521","Anilios","australis",113.3167,-26.3833
"R115859","Anilios","australis",113.5,-26.5
"R122414","Anilios","australis",113.5006,-26.5269
"R64351","Anilios","australis",113.7167,-26.7166
"R146453","Anilios","australis",114.15,-27.9
"R146401","Anilios","australis",114.1633,-27.9219
"R130285","Anilios","australis",114.1931,-27.9905
"R146452","Anilios","australis",114.2167,-28.0166
"R141543","Anilios","australis",114.3833,-28.1833
"R.102038","Anilios","australis",114.48,-28.38
"R114673","Anilios","australis",114.6333,-28.65
"R116282","Anilios","australis",114.6333,-28.85
"R165638","Anilios","australis",114.64,-28.8516
"R146570","Anilios","australis",114.9483,-29.3138
"R120304","Anilios","australis",115,-28.7333
"R166591","Anilios","australis",115.0067,-33.9088
"R156977","Anilios","australis",115.0125,-33.6627
"R157991","Anilios","australis",115.0167,-33.9166
"R47757","Anilios","australis",115.0333,-34.0666
"R129501","Anilios","australis",115.05,-33.9666
"R21856","Anilios","australis",115.0667,-29.5833
"R49111","Anilios","australis",115.0667,-30.1666
"R68243","Anilios","australis",115.0667,-33.6166
"R151270","Anilios","australis",115.0667,-30.5
"R5688","Anilios","australis",115.1,-29.2166
"R46596","Anilios","australis",115.1,-30.2666
"R40734","Anilios","australis",115.1167,-34.2666
"R11284","Anilios","australis",115.15,-34.3333
"R21611","Anilios","australis",115.15,-34.3166
"R128846","Anilios","australis",115.157,-30.1446
"R46589","Anilios","australis",115.1667,-30.4333
"R90181","Anilios","australis",115.1708,-34.3041
"R49164","Anilios","australis",115.1833,-30.1166
"R121952","Anilios","australis",115.2,-30.1833
"R137458","Anilios","australis",115.2031,-30.7508
"R49688","Anilios","australis",115.2167,-34.2666
"R125985","Anilios","australis",115.2167,-28.4666
"R36043","Anilios","australis",115.25,-34.25
"R64890","Anilios","australis",115.25,-33.8333
"R140516","Anilios","australis",115.2508,-30.6138
"R137459","Anilios","australis",115.2708,-30.7988
"R15114","Anilios","australis",115.3333,-31.0166
"R26060","Anilios","australis",115.3333,-33.65
"R.95358","Anilios","australis",115.35,-33.65
"R141874","Anilios","australis",115.4164,-33.648
"R106035","Anilios","australis",115.4167,-30.6166
"R.95357","Anilios","australis",115.43,-33.63
"R132329","Anilios","australis",115.4453,-33.6166
"R68932","Anilios","australis",115.45,-30.4
"R173011","Anilios","australis",115.45,-30.7166
"R108454","Anilios","australis",115.475,-32.015
"R.87748","Anilios","australis",115.5,-32
"R6072","Anilios","australis",115.5,-33.7166
"R26558","Anilios","australis",115.5167,-33.5166
"R47778","Anilios","australis",115.5167,-32
"R121286","Anilios","australis",115.5333,-34.1666
"R108455","Anilios","australis",115.5472,-32.0075
"R34274","Anilios","australis",115.5667,-30.45
"R46252","Anilios","australis",115.5667,-33.55
"R112756","Anilios","australis",115.6053,-33.4208
"R59219","Anilios","australis",115.6167,-31.4333
"R90018","Anilios","australis",115.6375,-33.6208
"R129650","Anilios","australis",115.6436,-34.4013
"R39125","Anilios","australis",115.6667,-33.8
"R62236","Anilios","australis",115.6667,-34.1666
"R129073","Anilios","australis",115.6833,-34.4166
"R108443","Anilios","australis",115.6958,-30.9952
"R92129","Anilios","australis",115.7,-32.5666
"R124842","Anilios","australis",115.7,-32.8666
"R135343","Anilios","australis",115.7,-32.6833
"R144080","Anilios","australis",115.7,-33.3
"R164312","Anilios","australis",115.7,-33.55
"R47360","Anilios","australis",115.7167,-32.2833
"R87860","Anilios","australis",115.7167,-31.7333
"R124861","Anilios","australis",115.7167,-32.8166
"R138127","Anilios","australis",115.7167,-31.65
"R156331","Anilios","australis",115.7217,-33.2805
"R90148","Anilios","australis",115.725,-34.4319
"R31557","Anilios","australis",115.75,-31.7
"R96823","Anilios","australis",115.75,-32.3
"R125695","Anilios","australis",115.75,-31.7166
"R132051","Anilios","australis",115.75,-34.4166
"R166784","Anilios","australis",115.75,-31.6666
"R144650","Anilios","australis",115.7661,-31.7183
"R14243","Anilios","australis",115.7667,-32.0333
"R21877","Anilios","australis",115.7667,-31.9166
"R26631","Anilios","australis",115.7667,-33.9833
"R28395","Anilios","australis",115.7667,-31.95
"R36997","Anilios","australis",115.7667,-32.5833
"R88061","Anilios","australis",115.7667,-31.9666
"R105938","Anilios","australis",115.7667,-31.9422
"R115067","Anilios","australis",115.7667,-31.9333
"R131980","Anilios","australis",115.7667,-32.0166
"R118870","Anilios","australis",115.7669,-31.9413
"R97265","Anilios","australis",115.7694,-31.9422
"R118871","Anilios","australis",115.7711,-31.9538
"R118868","Anilios","australis",115.7742,-31.9416
"R126554","Anilios","australis",115.7808,-31.8158
"R36313","Anilios","australis",115.7833,-31.9
"R39985","Anilios","australis",115.7833,-31.9833
"R51297","Anilios","australis",115.7833,-31.85
"R119922","Anilios","australis",115.7833,-31.9333
"R146691","Anilios","australis",115.7833,-32.3
"D7591","Ramphotyphlops","australis",115.8,-31.75
"R3844","Anilios","australis",115.8,-31.9833
"R5912","Anilios","australis",115.8,-31.9666
"R29785","Anilios","australis",115.8,-31.9333
"R39071","Anilios","australis",115.8,-32.0833
"R40967","Anilios","australis",115.8,-32.0333
"R82721","Anilios","australis",115.8,-31.5666
"R41764","Anilios","australis",115.8167,-32.0833
"R.2985","Anilios","australis",115.83,-33.17
"R6959","Anilios","australis",115.8333,-32.3666
"R36561","Anilios","australis",115.8333,-32.1333
"R62717","Anilios","australis",115.8333,-32.15
"R89962","Anilios","australis",115.8333,-32.1166
"R114839","Anilios","australis",115.8333,-31.9666
"R7194","Ramphotyphlops","australis",115.85,-31.95
"R137473","Anilios","australis",115.85,-33.55
"R410","Anilios","australis",115.8667,-32.1
"R792","Anilios","australis",115.8667,-31.95
"R2775","Anilios","australis",115.8667,-32
"R10136","Anilios","australis",115.8667,-31.9833
"R31676","Anilios","australis",115.8667,-32.75
"R121345","Anilios","australis",115.8667,-32.3333
"R118674","Anilios","australis",115.8675,-31.9105
"R1524","Anilios","australis",115.8833,-31.9333
"R13557","Anilios","australis",115.8833,-32.0333
"R52088","Anilios","australis",115.8833,-32.0166
"R74970","Anilios","australis",115.8833,-31.9833
"R.171147","Anilios","australis",115.9,-33.45
"R.95350","Anilios","australis",115.9,-34
"R2257","Anilios","australis",115.9,-31.35
"R2601","Anilios","australis",115.9,-32.9666
"R54222","Anilios","australis",115.9,-31.8833
"R99830","Anilios","australis",115.9,-33.0833
"R106169","Anilios","australis",115.9,-31.9833
"R3863","Anilios","australis",115.9167,-32.85
"R154063","Anilios","australis",115.93,-31.6552
"R620","Anilios","australis",115.9333,-31.8666
"R42970","Anilios","australis",115.9333,-32.0333
"R88492","Anilios","australis",115.9333,-33.3666
"R10068","Anilios","australis",115.95,-32.0166
"R51565","Anilios","australis",115.95,-31.85
"R93711","Anilios","australis",115.95,-32.05
"R141887","Anilios","australis",115.95,-29
"R143940","Anilios","australis",115.9592,-30.15
"R456","Anilios","australis",115.9667,-31.5833
"R855","Anilios","australis",115.9667,-33.3166
"R13426","Anilios","australis",115.9667,-32.0333
"R36122","Anilios","australis",115.9667,-31.8833
"R37976","Anilios","australis",115.9667,-31.95
"R97085","Anilios","australis",115.9667,-32.5166
"R118168","Anilios","australis",115.9697,-31.9675
"R90968","Anilios","australis",115.9778,-31.9233
"R165632","Anilios","australis",115.9814,-32.1691
"R1252","Anilios","australis",115.9833,-31.9
"R5772","Anilios","australis",115.9833,-33.7833
"R25615","Anilios","australis",115.9833,-32.2666
"R34344","Anilios","australis",115.9833,-31.6666
"R89259","Anilios","australis",115.9833,-32.0666
"R131502","Anilios","australis",115.9833,-31.9833
"R115168","Anilios","australis",115.9917,-32.2583
"R11268","Anilios","australis",116,-32.0833
"R59505","Anilios","australis",116,-31.75
"R71224","Anilios","australis",116,-31.9333
"R78251","Anilios","australis",116,-32.1666
"R96100","Anilios","australis",116,-32.1
"R115828","Anilios","australis",116,-32.2166
"R118876","Anilios","australis",116.0019,-32.2338
"R126076","Anilios","australis",116.0033,-32.2311
"R861","Anilios","australis",116.0167,-31.8333
"R66277","Anilios","australis",116.0167,-31.9833
"R81995","Anilios","australis",116.0167,-31.95
"R89442","Anilios","australis",116.0167,-32.1
"R113376","Anilios","australis",116.0167,-32.1166
"R119357","Anilios","australis",116.0167,-32.1833
"R129419","Anilios","australis",116.0167,-34.0833
"R118907","Anilios","australis",116.0169,-31.9197
"R118905","Anilios","australis",116.0189,-32.065
"R126072","Anilios","australis",116.0189,-32.0638
"R89258","Anilios","australis",116.0333,-32
"R103736","Anilios","australis",116.0333,-32.5166
"R121160","Anilios","australis",116.0333,-32.1833
"R119230","Anilios","australis",116.0356,-32.1911
"R151186","Anilios","australis",116.0394,-31.9322
"R115829","Anilios","australis",116.04028,-31.99
"R157992","Anilios","australis",116.0411,-32.355
"R119450","Anilios","australis",116.0461,-31.873
"R.102279","Anilios","australis",116.05,-33.87
"R2157","Anilios","australis",116.05,-31.8833
"R10229","Anilios","australis",116.05,-33.85
"R24059","Anilios","australis",116.05,-31.9333
"R28346","Anilios","australis",116.05,-31.95
"R39699","Anilios","australis",116.05,-31.9666
"R56098","Anilios","australis",116.05,-32.0166
"R73167","Anilios","australis",116.05,-32
"R78006","Anilios","australis",116.05,-31.9166
"R119664","Anilios","australis",116.05,-32.1833
"R119062","Anilios","australis",116.0508,-31.8736
"R119082","Anilios","australis",116.0511,-31.8666
"R770","Anilios","australis",116.0667,-31.9833
"R4397","Anilios","australis",116.0667,-32.6
"R5895","Anilios","australis",116.0667,-32.1166
"R16497","Anilios","australis",116.0667,-31.9166
"R34405","Anilios","australis",116.0667,-32.3333
"R40971","Anilios","australis",116.0667,-32
"R45620","Anilios","australis",116.0667,-31.9666
"R69876","Anilios","australis",116.0667,-31.7666
"R88484","Anilios","australis",116.0667,-31.7166
"R95525","Anilios","australis",116.0667,-31.8666
"R104448","Anilios","australis",116.0667,-32.3166
"R15116","Anilios","australis",116.0833,-33.4166
"R73192","Anilios","australis",116.0833,-32.0333
"R78038","Anilios","australis",116.0833,-32.4333
"R90178","Anilios","australis",116.0833,-34.7666
"R98069","Anilios","australis",116.0833,-31.9333
"R131865","Anilios","australis",116.0928,-33.2969
"R15136","Anilios","australis",116.1,-31.45
"R52135","Anilios","australis",116.1,-31.9166
"R115125","Anilios","australis",116.1,-32.5333
"R154718","Anilios","australis",116.1103,-32.7041
"R9425","Anilios","australis",116.1167,-32.0833
"R3829","Anilios","australis",116.1183,-32.0166
"R140860","Anilios","australis",116.1197,-30.0205
"R.86557","Anilios","australis",116.13,-31.92
"R4886","Anilios","australis",116.1333,-31.9
"R7022","Anilios","australis",116.1333,-33.9666
"R13481","Anilios","australis",116.15,-33.3666
"R37716","Anilios","australis",116.15,-34.25
"R134937","Anilios","australis",116.15,-31.4
"R507","Anilios","australis",116.1667,-31.9
"R14541","Anilios","australis",116.1667,-31.9833
"R40313","Anilios","australis",116.1667,-31.8833
"R49957","Anilios","australis",116.1667,-31.95
"R29052","Anilios","australis",116.2,-31.7833
"R82957","Anilios","australis",116.2,-31.8666
"R144191","Anilios","australis",116.2064,-33.3533
"R134829","Anilios","australis",116.2081,-29.4783
"R26056","Anilios","australis",116.2167,-30.8666
"R28396","Anilios","australis",116.2167,-30.9666
"R31529","Anilios","australis",116.2167,-30.7
"R154698","Anilios","australis",116.23,-32.6572
"R112887","Anilios","australis",116.2303,-33.1258
"R40208","Anilios","australis",116.2333,-32.3333
"R144892","Anilios","australis",116.2333,-30.05
"R154690","Anilios","australis",116.235,-32.115
"R73680","Anilios","australis",116.25,-31.5833
"R85192","Anilios","australis",116.25,-31.4333
"R121893","Anilios","australis",116.25,-31.9166
"R153964","Anilios","australis",116.2606,-31.1705
"R57043","Anilios","australis",116.2667,-32.1833
"R7181","Ramphotyphlops","australis",116.27,-31.85
"R68122","Anilios","australis",116.2722,-32.3694
"R130807","Anilios","australis",116.2728,-31.45
"R153970","Anilios","australis",116.2939,-31.2288
"R21337","Anilios","australis",116.3,-31.8
"R94387","Anilios","australis",116.3,-32.4166
"R153986","Anilios","australis",116.3136,-31.3252
"R57258","Anilios","australis",116.3167,-31.9666
"R75646","Anilios","australis",116.3167,-31.85
"R132841","Anilios","australis",116.3217,-31.1433
"R71690","Anilios","australis",116.3469,-32.9863
"R156665","Anilios","australis",116.355,-32.998
"R31478","Anilios","australis",116.3667,-30.6333
"R173390","Anilios","australis",116.3688,-32.53292
"R173386","Anilios","australis",116.3808,-32.52942
"R173385","Anilios","australis",116.381,-32.52947
"R21599","Anilios","australis",116.3833,-30.7166
"R26409","Anilios","australis",116.3833,-31.7666
"R134872","Anilios","australis",116.3833,-29.2591
"R130732","Anilios","australis",116.3978,-31.6363
"R3872","Anilios","australis",116.4333,-31.4166
"R33433","Anilios","australis",116.4333,-31.7666
"R46609","Anilios","australis",116.45,-34.3333
"R83973","Anilios","australis",116.45,-31.75
"R4938","Anilios","australis",116.4667,-32.8
"R76300","Anilios","australis",116.5,-33.1166
"R130634","Anilios","australis",116.5303,-32.1333
"R42577","Anilios","australis",116.55,-34.1
"R139493","Anilios","australis",116.55,-33.8166
"R130733","Anilios","australis",116.5608,-31.3211
"R97427","Anilios","australis",116.6208,-34.175
"R143296","Anilios","australis",116.6275,-33.6055
"R133561","Anilios","australis",116.6389,-31.9
"R133639","Anilios","australis",116.6406,-32.152
"R3408","Anilios","australis",116.6667,-31.65
"R94508","Anilios","australis",116.7,-34.45
"R40968","Anilios","australis",116.7167,-34.35
"R50989","Anilios","australis",116.7167,-30.9
"R130604","Anilios","australis",116.72,-30.863
"R1543","Anilios","australis",116.7333,-33.35
"R4706","Anilios","australis",116.8833,-33.0333
"R81435","Anilios","australis",116.8833,-34.5
"R143337","Anilios","australis",116.8869,-33.4883
"R132024","Anilios","australis",116.9211,-32.7758
"R132006","Anilios","australis",116.94,-32.7433
"R129104","Anilios","australis",116.9833,-34.75
"R143349","Anilios","australis",116.9881,-33.8413
"R127529","Anilios","australis",117.0167,-33.7
"R133502","Anilios","australis",117.0167,-31.993
"R7189","Ramphotyphlops","australis",117.02,-31.8
"R133728","Anilios","australis",117.0219,-31.993
"R154367","Anilios","australis",117.0333,-31.2833
"R5345","Anilios","australis",117.05,-33.6666
"R2374","Anilios","australis",117.1,-31.0166
"R133011","Anilios","australis",117.1,-32.6111
"R1280","Anilios","australis",117.15,-33.8333
"R12634","Anilios","australis",117.1833,-32.9333
"R130163","Anilios","australis",117.2806,-32.5411
"R94294","Anilios","australis",117.3167,-33.2833
"R83040","Anilios","australis",117.3333,-32.55
"R50181","Anilios","australis",117.3667,-32.75
"R78481","Anilios","australis",117.3667,-34.1166
"R133685","Anilios","australis",117.3681,-32.0835
"R34118","Anilios","australis",117.4,-32.0166
"R130354","Anilios","australis",117.4258,-33.2319
"R133755","Anilios","australis",117.4728,-31.7786
"R3774","Anilios","australis",117.4833,-30.8333
"R134281","Anilios","australis",117.4958,-31.7891
"R154368","Anilios","australis",117.5167,-31.6666
"R23356","Anilios","australis",117.5333,-33.5666
"R56002","Anilios","australis",117.5333,-33.05
"R1356","Anilios","australis",117.55,-34.3666
"R6562","Anilios","australis",117.55,-34.3
"R6916","Anilios","australis",117.55,-33.6833
"R23354","Anilios","australis",117.5667,-33.5666
"R52373","Anilios","australis",117.5833,-31.5333
"R.12127","Anilios","australis",117.63,-34.03
"R130316","Anilios","australis",117.6422,-33.3791
"R130116","Anilios","australis",117.6456,-32.89
"R2427","Anilios","australis",117.65,-34.05
"R36567","Anilios","australis",117.6667,-34.6333
"R49640","Anilios","australis",117.6833,-33.0666
"R136224","Anilios","australis",117.6972,-33.0855
"R5343","Anilios","australis",117.7,-32.9666
"R11583","Anilios","australis",117.7,-34.7666
"R126466","Anilios","australis",117.7333,-33.3166
"R112152","Anilios","australis",117.7492,-31.4272
"R130138","Anilios","australis",117.7575,-32.8908
"R112735","Anilios","australis",117.8667,-35
"R143439","Anilios","australis",117.95,-34.15
